ingredient,health_score,category,aliases,Tags/Flags,Risk Group Flags,Notes
Acacia Gum,-0.1,Stabilizer,-,Natural Fiber,-,Used as thickener and fiber source
Acesulfame Potassium,-0.8,Artificial Sweetener,E950,Synthetic|Zero Calorie,Diabetic|Kidney Risk,Linked to possible metabolic disruption
Acid,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Acid Explanation,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Acid Insoluble,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Acid Value,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Acid Whey,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Acid Whey Powder,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Additive,0.1,Miscellaneous,-,Unclassified,-,Auto-assigned data. Needs review.
Additive Name,0.1,Miscellaneous,-,Unclassified,-,Auto-assigned data. Needs review.
Alginic Acid,-0.2,Thickener,-,Seaweed Derived,-,Used for texture
Allspice Powder,0.6,Spice,Pimenta,Antioxidant|Natural,-,Natural spice with health benefits
Anhydrous Butter Oil,-0.5,Fat/Oil,-,High Saturated Fat,Heart Risk,Concentrated dairy fat
Anhydrous Milk,-0.3,Dairy Product,-,Unclassified,-,Auto-assigned data. Needs review.
Arachidonic Acid,-0.1,Acidity Regulator,-,Unclassified,-,Auto-assigned data. Needs review.
Ascorbic Acid,0.6,Additive,Vitamin C|E300,Antioxidant,-,Safe preservative
Avocado Oil,0.7,Fat/Oil,-,Healthy Fat,-,Heart-friendly fat
Black Salt,-0.3,Additive,Kala Namak,Sulfur Rich,Hypertension,Flavor enhancer with minerals
Black Salt Herbs,-0.1,Additive,-,Unclassified,-,Auto-assigned data. Needs review.
Bran Oil,0.5,Fat/Oil,Rice Bran Oil,PUFA|Heart Friendly,-,Popular Indian cooking oil
Buffalo Milk,-0.3,Dairy Product,-,Unclassified,-,Auto-assigned data. Needs review.
